,Station,River,Location,Nominal_Easting,Nominal_Northing,Easting,Northing,Ceasting,Cnorthing,Grid,DTM_Area,AREA/DPLBAR,Assessment Level,ALTBAR,ASPBAR,ASPVAR,BFIHOST,DPLBAR,DPSBAR,DPSBAR (m/m),Assessment Level,FARL,FPEXT,LDP,PROPWET,RMED1H,RMED1D,RMED2D,SAAR,SAAR4170,SPRHOST,Assessment Level,URBCONC1990,URBEXT1990,URBLOC1990,URBCONC2000,URBEXT2000,Assessment Level,URBLOC2000,suitQMED,suitPool,QMED,N_AM,hyd_area,Map,Ireland,SCORE,prop.summer,Tp
489,44002,Piddle,Baggs Mill,3913,876,391300,87650,377763,97463,GB,183.79,7.93566494,2,105,143,0.21,0.86,23.16,79.5,0.0795,2,0.969,0.0537,38.29,0.36,11,37,48.9,942,1004,12.93,1,-9999,0.0033,-9999,0.575,0.0051,0,0.904,YES,NO,8.185,54,44,9,FALSE,5,0.074074074,9.093190648
490,44003,Asker,Bridport,3470,927,347000,92750,351377,95390,GB,48.52,6.6374829,2,100,251,0.16,0.696,7.31,138.4,0.1384,3,0.994,0.0249,12.41,0.38,11.1,38.4,47.6,924,979,26.49,2,0.536,0.0107,0.31,0.719,0.0154,0,0.289,YES,YES,12.3535,14,44,9,FALSE,7,0.142857143,3.585538842
491,44004,Frome,Dorchester Total,3708,903,370850,90350,361402,98018,GB,205.67,12.20593472,0,152,131,0.13,0.775,16.85,100.4,0.1004,3,0.971,0.0348,31.37,0.38,11.3,39.8,51.4,1010,1074,20.56,2,0.513,0.0085,0.398,0.766,0.0123,0,0.385,YES,NO,15.847,49,44,9,FALSE,5,0.102040816,6.521649691
492,44006,Sydling Water,Sydling St Nicholas,3632,996,363250,99650,362830,101666,GB,12.06,3.621621622,3,188,169,0.18,0.879,3.33,128.9,0.1289,3,0.944,0.0162,6.32,0.38,11.5,40.8,51.5,1030,1097,13.35,1,-9999,0.0018,-9999,-9999,0.0048,0,-9999,YES,NO,0.865,45,44,9,FALSE,7,0.155555556,2.350431344
493,44008,South Winterbourne,Winterbourne Steepleton,3629,897,362950,89750,359407,90872,GB,20.18,3.996039604,3,160,115,0.22,0.811,5.05,93.8,0.0938,2,1,0.015,10.12,0.38,11.3,39.3,50.1,1012,1045,19.53,1,-9999,0.0022,-9999,-9999,0.0042,0,-9999,YES,YES,0.434,40,44,9,FALSE,6,0.125,3.294054797
494,44009,Wey,Broadwey,3666,838,366600,83900,365870,85605,GB,8,2.666666667,3,101,191,0.39,0.779,3,117.5,0.1175,3,1,0.0157,6.29,0.38,10.9,37.9,51.8,894,937,17.4,1,0.268,0.0075,0.307,0.64,0.0233,0,0.301,YES,NO,1.757,42,44,9,FALSE,7,0.214285714,2.223228725
495,44011,Asker,East Bridge Bridport,3470,927,347000,92750,351377,95390,GB,48.52,6.6374829,2,100,251,0.16,0.696,7.31,138.4,0.1384,3,0.994,0.0249,12.41,0.38,11.1,38.4,47.6,924,979,26.49,2,0.536,0.0107,0.31,0.719,0.0154,0,0.289,YES,YES,16.483,24,44,9,FALSE,7,0.083333333,3.585538842
496,44013,Piddle,Little Puddle,3718,964,371850,96450,370072,100165,GB,34.09,5.897923875,2,152,138,0.18,0.893,5.78,112.6,0.1126,3,1,0.0155,11.09,0.38,11.2,38.4,51.4,1002,1078,11.77,1,-9999,0.003,-9999,-9999,0.0045,0,-9999,YES,YES,0.857,27,44,9,FALSE,6,0.076923077,3.384864714
497,44014,Piddle,Briantspuddle,3822,933,382250,93350,373981,98698,GB,107.24,7.305177112,2,124,143,0.2,0.882,14.68,88.1,0.0881,2,0.99,0.0358,24.58,0.38,11.1,37.4,49.8,969,1049,11.93,1,-9999,0.0033,-9999,0.53,0.0051,0,0.758,YES,NO,4.993,26,44,9,FALSE,5,0.076923077,6.336128029
498,44015,Hooke,Hooke,3537,1000,353900,99900,352148,101720,GB,12.59,3.692082111,3,200,159,0.21,0.599,3.41,81.2,0.0812,2,0.928,0.0173,7.48,0.38,11.5,41.4,51.4,1030,1067,37.76,3,-9999,3.00E-04,-9999,-9999,0.0014,0,-9999,YES,NO,1.641,27,44,9,FALSE,8,0.148148148,2.727107887
499,45001,Exe,Thorverton,2936,1016,293600,101600,291199,125204,GB,608.16,15.8540146,1,245,163,0.14,0.526,38.36,137.9,0.1379,3,0.985,0.0314,77.16,0.46,11.8,42.2,57.4,1249,1302,36,3,-9999,0.0025,-9999,0.747,0.0061,0,0.513,YES,YES,175.036,63,45,9,FALSE,7,0.047619048,8.097405585
500,45002,Exe,Stoodleigh,2942,1178,294250,117800,289667,130914,GB,420.69,15.66815642,1,285,168,0.15,0.495,26.85,142.3,0.1423,3,0.979,0.0215,55.96,0.48,12.1,45.9,62.4,1361,1420,37.95,3,-9999,4.00E-04,-9999,-9999,0.0017,0,-9999,YES,YES,140.651,59,45,9,FALSE,7,0.050847458,6.229608442
501,45003,Culm,Woodmill,3020,1057,302050,105800,308880,111882,GB,228.91,14.46965866,1,153,233,0.06,0.585,15.82,70.1,0.0701,2,0.993,0.065,30.63,0.4,11.1,36,47,971,995,31.82,2,-9999,0.0038,-9999,0.701,0.0139,0,0.654,YES,YES,70.6,57,45,9,FALSE,5,0.122807018,6.66960987
502,45004,Axe,Whitford,3262,953,326200,95300,332345,104570,GB,288.56,13.72787821,0,138,123,0.03,0.498,21.02,90.2,0.0902,2,0.996,0.0384,39.8,0.39,11.4,40.1,51.9,994,1052,38.81,3,-9999,0.0045,-9999,0.723,0.0109,0,0.903,YES,NO,104.211,55,45,9,FALSE,5,0.163636364,7.559153596
503,45005,Otter,Dotton,3086,884,308700,88450,313401,101016,GB,202.83,10.19246231,0,144,195,0.11,0.549,19.9,85,0.085,2,0.996,0.0503,41.11,0.4,11.4,38.4,49.5,971,1016,34.34,2,0.777,0.0079,0.824,0.749,0.0241,0,0.712,YES,NO,69.81,58,45,9,FALSE,4,0.137931034,7.153844362
504,45007,Exe,Trews Weir,2922,918,292250,91850,292882,115313,GB,1193.68,28.44126757,1,187,164,0.1,0.558,41.97,114.6,0.1146,3,0.989,0.0496,92.94,0.44,11.5,38.6,51.9,1090,1138,33.69,2,0.545,0.0052,0.246,0.776,0.0124,0,0.527,YES,YES,267.78,23,45,9,FALSE,6,0.086956522,9.363313976
505,45008,Otter,Fenny Bridges,3114,985,311450,98600,317424,105041,GB,105.29,7.880988024,2,183,184,0.08,0.491,13.36,92.9,0.0929,2,0.994,0.0361,27.23,0.4,11.5,40.5,52.4,1040,1075,38.03,3,0.825,0.0092,0.567,0.825,0.0192,0,0.609,YES,YES,63.799,45,45,9,FALSE,7,0.155555556,5.470596648
506,45009,Exe,Pixton,2934,1259,293500,126000,291729,134755,GB,147.82,9.705843729,0,309,185,0.2,0.548,15.23,154.2,0.1542,3,0.95,0.0169,36.67,0.51,12.2,47.8,65.5,1375,1441,34.63,2,-9999,1.00E-04,-9999,-9999,0.0012,0,-9999,YES,YES,47.153,53,45,9,FALSE,5,0.132075472,4.06148054
507,45012,Creedy,Cowley,2900,967,290100,96750,281643,100833,GB,263.63,16.03588808,1,124,114,0.1,0.577,16.44,111.3,0.1113,3,0.993,0.0401,30.57,0.46,11.3,33.9,46,909,969,31.96,2,-9999,0.0023,-9999,0.737,0.0088,0,0.816,YES,YES,75.623,54,45,9,FALSE,6,0.037037037,5.174978911
508,45013,Tale,Fairmile,3088,971,308850,97100,308982,102292,GB,31.43,4.371349096,3,123,227,0.27,0.514,7.19,62.9,0.0629,2,0.998,0.0481,14.24,0.4,11.1,35.2,45,922,958,36.1,3,-9999,1.00E-04,-9999,0.546,0.0092,0,0.792,YES,NO,10.0905,40,45,9,FALSE,8,0.1,4.336599488
509,45816,Haddeo,Upton,2988,1288,298850,128900,300161,130641,GB,6.81,2.218241042,3,310,210,0.24,0.59,3.07,81,0.081,2,1,0.0114,6.01,0.37,11.7,41.8,60.4,1210,1293,31.27,2,-9999,0,-9999,-9999,0.005,0,-9999,YES,YES,3.456,26,45,9,FALSE,7,0.230769231,2.640535065
510,45817,Unnamed Stream,Upton,2988,1289,298850,128950,299064,130043,GB,1.74,1.242857143,3,287,178,0.46,0.603,1.4,67.8,0.0678,2,1,0.0172,2.74,0.54,11.7,41.6,61.2,1207,1295,31.55,2,-9999,0,-9999,-9999,0.0022,0,-9999,YES,NO,1.2625,26,45,9,FALSE,7,0.230769231,1.147487352
